{ Units, Wavelength Units } SI Microns
{ Thickness } 12.56538
{ Conductivity } 0.7303554
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.84 0.84
{ }
{ Product Name: Suntuitive_15C }
{ Manufacturer: User }
{ NFRC ID: 16500 }
{ Type: Laminate }
{ Material: N/A }
{ Coating Name: N/A }
{ Coated Side: Neither }
{ Substrate Filename: N/A }
{ Appearance:  }
{ Acceptance:  }
{ Uses:  }
{ Availability:   }
0.300	0.0000	0.0506	0.0506
0.305	0.0001	0.0498	0.0498
0.310	0.0000	0.0489	0.0489
0.315	0.0000	0.0483	0.0483
0.320	0.0000	0.0477	0.0477
0.325	0.0000	0.0473	0.0473
0.330	0.0000	0.0469	0.0469
0.335	0.0000	0.0465	0.0465
0.340	0.0000	0.0463	0.0463
0.345	0.0000	0.0461	0.0461
0.350	0.0000	0.0459	0.0459
0.355	0.0000	0.0457	0.0457
0.360	0.0000	0.0456	0.0456
0.365	0.0004	0.0454	0.0454
0.370	0.0071	0.0453	0.0453
0.375	0.0423	0.0453	0.0453
0.380	0.1218	0.0458	0.0458
0.385	0.2195	0.0474	0.0474
0.390	0.3010	0.0494	0.0494
0.395	0.3583	0.0511	0.0511
0.400	0.3993	0.0525	0.0525
0.405	0.4331	0.0538	0.0538
0.410	0.4657	0.0551	0.0551
0.415	0.4992	0.0565	0.0565
0.420	0.5326	0.0581	0.0581
0.425	0.5651	0.0597	0.0597
0.430	0.5958	0.0613	0.0613
0.435	0.6230	0.0628	0.0628
0.440	0.6463	0.0641	0.0641
0.445	0.6643	0.0651	0.0651
0.450	0.6776	0.0659	0.0659
0.455	0.6877	0.0665	0.0665
0.460	0.6962	0.0669	0.0669
0.465	0.7038	0.0674	0.0674
0.470	0.7118	0.0677	0.0677
0.475	0.7201	0.0682	0.0682
0.480	0.7284	0.0687	0.0687
0.485	0.7350	0.0690	0.0690
0.490	0.7386	0.0691	0.0691
0.495	0.7387	0.0690	0.0690
